city,date,prodcode,quantity,weight_lb,price_usd
Chicago,Jan 23,4081,334,7.568684486811981,1.9210720775416121
Chicago,Jan 23,3302,237,12.068491252511741,1.4945486933691428
Chicago,Jan 23,4131,426,2.926420061988756,0.7352108337334358
Chicago,Jan 23,4131,213,18.074397210078317,3.0452546819113198
Chicago,Jan 23,4134,439,10.22344640446827,1.158079272962641
Chicago,Jan 23,4078,154,11.31049292352982,1.368575705983676
Chicago,Jan 23,4159,445,20.636812579911204,2.3609917722176763
Chicago,Jan 23,4650,126,9.919638367835432,2.108204751403537
Chicago,Jan 23,4134,274,16.9671641076915,3.221054072561674
Chicago,Jan 23,4796,372,17.71544823376462,0.8385636413702742
Chicago,Jan 23,3302,182,6.307633814075962,2.04544704600703
Chicago,Jan 23,4081,477,3.319229246163741,3.0672733709332536
Chicago,Jan 23,4030,252,8.763973907660693,2.950577859953046
Chicago,Jan 23,4412,351,15.739342674938964,3.037482000316959
Chicago,Jan 23,4012,173,17.401930512068795,2.6916465496295134
Chicago,Jan 23,4272,364,15.130377950938419,1.0097204428282567
Chicago,Jan 23,4078,394,20.68931908532977,0.8838085001450964
Chicago,Jan 23,4272,298,2.269615841051564,0.8753088589990512
Chicago,Jan 23,4159,448,9.692104034032674,1.73818587588612
Chicago,Jan 23,4958,433,14.94534021280706,2.6878141588647853
Chicago,Jan 23,3302,494,4.161637701606378,3.036269761633594
Chicago,Jan 23,4225,367,2.4982565445825458,1.7227822703542188
Chicago,Jan 23,4012,357,5.141588395321742,2.776155542128254
Chicago,Jan 23,4081,118,16.957144203362986,1.8380315353977494
Chicago,Jan 23,4159,176,19.08438566834666,2.416158517659642
Chicago,Jan 23,4012,113,8.633920054137707,2.636496181378607
Chicago,Jan 23,4240,439,7.480056273611263,2.4292389419977556
Chicago,Jan 23,4011,270,7.022239354299382,2.8808439366519454
Chicago,Jan 23,4958,427,21.133755772700535,1.4068172513041646
Chicago,Jan 23,4078,160,12.045921039907263,1.0526087071746588
Chicago,Jan 23,4404,262,15.950141192926095,0.8071804677136243
Chicago,Jan 23,3302,389,20.319611896481366,0.590685132611543
Chicago,Jan 23,4225,123,14.256651382660495,3.031636582699139
Chicago,Jan 23,4958,232,7.39965538494289,2.7391455246950502
Chicago,Jan 23,4225,411,20.394828607793897,0.7638727211277001
Chicago,Jan 23,4309,437,16.289938956312838,0.8297934986883775
Chicago,Jan 23,4272,449,3.067806157236919,1.0282032516086475
Chicago,Jan 23,4650,482,14.743451011227444,2.003864556271583
Chicago,Jan 23,4323,253,19.084101279173048,2.5721135401516224
Chicago,Jan 23,3302,481,4.558098015142605,0.8751013287808747
Chicago,Jan 23,4062,382,21.050350484298544,0.8344583281548694
Chicago,Jan 23,4272,269,3.0086292230524125,2.068724526220467
Chicago,Jan 23,4650,256,5.577879637200386,1.3489260617177934
Chicago,Jan 23,4225,184,2.658437509974465,1.7612114426563494
Chicago,Jan 23,4030,401,9.920216149603949,0.8757218372309581
Chicago,Jan 23,4081,278,16.24368738997728,3.084451172803529
Chicago,Jan 23,4412,281,15.183959805080669,2.5646211193059574
Chicago,Jan 23,4412,133,11.82562579335645,1.819208773446735
Chicago,Jan 23,4225,246,3.798318622261286,2.3988646738696846
Chicago,Jan 23,4323,458,21.36411113240756,1.3433596306829714
Chicago,Jan 23,4309,318,13.29340273155831,2.374474880937487
Chicago,Jan 23,4159,112,16.39474199335091,1.5814387686084956
Chicago,Jan 23,4272,255,7.811810169275851,2.3950397398555654
Chicago,Jan 23,4011,145,18.08460749089718,1.6849925480317325
Chicago,Jan 23,4225,211,14.658543294761332,2.5061306441319178
Chicago,Jan 23,4323,388,20.197426055837425,1.322958882385865
Chicago,Jan 23,4131,250,10.043278742767871,2.5814373142318803
Chicago,Jan 23,4309,354,8.304031397216022,2.13103399805259
Chicago,Jan 23,4650,299,16.68754442851059,0.6173639603774064
Chicago,Jan 23,4011,423,15.961169655621052,1.547410495474469
Chicago,Jan 23,4081,333,10.81894327797927,1.7623354988289066
Chicago,Jan 23,4131,168,18.1888938292861,1.6593553699320183
Chicago,Jan 23,4134,475,8.251138288667427,2.048123461788055
Chicago,Jan 23,4404,121,20.30819520330988,2.923790391313378
Chicago,Jan 23,4958,134,14.67062191227451,2.655605304706842
Chicago,Jan 23,4958,437,17.587852309644223,0.7299102474469692
Chicago,Jan 23,4081,268,16.399449067749085,0.8731744336080738
Chicago,Jan 23,4240,387,15.330888550309465,1.4019175700494089
Chicago,Jan 23,4412,395,16.12122161346488,1.3988653445383534
Chicago,Jan 23,4131,495,6.014189789490775,2.563926185492892
Chicago,Jan 23,4225,485,14.041948648355902,0.9391012368840166
Chicago,Jan 23,4796,156,17.389976333547384,3.238326403440442
Chicago,Jan 23,4159,366,6.880243451287971,2.9006972937611866
Chicago,Jan 23,4796,113,15.892810038477183,2.155790263449308
Chicago,Jan 23,4240,298,4.026333737839014,3.0238016981282274
Chicago,Jan 23,4030,417,16.793416558438913,0.5756974935182371
Chicago,Jan 23,4134,252,20.90468521458097,2.7075319870025853
Chicago,Jan 23,4012,480,15.348935504909607,3.0464540636865425
Chicago,Jan 23,4404,364,15.414828378241511,0.8546382897882723
Chicago,Jan 23,4404,273,10.516429152386264,1.8310077590984293
Chicago,Jan 23,4131,436,4.931745065189898,2.4044577170396226
Chicago,Jan 23,4011,422,11.493429250223564,1.829994267213624
