city,date,prodcode,quantity,weight_lb,price_usd
"Washington, DC",Jan 23,4011,182,2.47604273930192,1.5784508129116148
"Washington, DC",Jan 23,4404,363,3.097203507926315,3.1703127626213248
"Washington, DC",Jan 23,4272,309,10.48460465357639,0.6017884372384288
"Washington, DC",Jan 23,4131,354,14.948032042151318,2.234031173877884
"Washington, DC",Jan 23,4240,347,6.551916954806075,1.8248278505750932
"Washington, DC",Jan 23,4323,214,18.70216452605091,1.5255064563942142
"Washington, DC",Jan 23,4030,189,15.956392808165402,2.976663329242729
"Washington, DC",Jan 23,4011,316,20.00266480711289,0.758457860746421
"Washington, DC",Jan 23,4131,499,10.401957648713143,2.97905077704927
"Washington, DC",Jan 23,3302,231,10.337893124530092,1.0676100483513438
"Washington, DC",Jan 23,4650,229,7.150296790199355,1.1414335537236184
"Washington, DC",Jan 23,4412,114,9.60058737299405,2.941213801747654
"Washington, DC",Jan 23,4323,310,6.791476106876508,0.717304654722102
"Washington, DC",Jan 23,4134,339,20.645742659969258,1.1959739020210691
"Washington, DC",Jan 23,4323,397,11.631626152014361,3.2807926602661612
"Washington, DC",Jan 23,4958,482,3.143767059175298,2.415043751371559
"Washington, DC",Jan 23,4062,296,17.515914908982815,1.7475887013832108
"Washington, DC",Jan 23,4012,133,8.756123122526333,1.5876023402786814
"Washington, DC",Jan 23,4240,204,13.146954118087889,1.8182560669491068
"Washington, DC",Jan 23,4030,450,15.591344472626226,2.7550926470546986
"Washington, DC",Jan 23,4131,441,7.691220543486998,2.373159181920346
"Washington, DC",Jan 23,4225,438,3.2465424316935243,1.831510076194536
"Washington, DC",Jan 23,4650,479,10.630019957339393,0.6964634503936395
"Washington, DC",Jan 23,4012,361,14.280345944175497,1.202294275467284
"Washington, DC",Jan 23,4272,295,21.525711494311693,1.1914092783234083
"Washington, DC",Jan 23,4030,175,21.40204238034785,1.1842974021099508
"Washington, DC",Jan 23,4131,385,3.951994235441089,0.7197472534142435
"Washington, DC",Jan 23,3302,134,12.067924737697469,1.917076175461989
"Washington, DC",Jan 23,4404,284,10.034649482090026,1.2213439938612283
"Washington, DC",Jan 23,4134,475,9.92857219586149,2.6350102320546287
"Washington, DC",Jan 23,4011,438,8.506289918860421,2.055082363204565
"Washington, DC",Jan 23,4796,387,15.714986073831097,3.157183964806609
"Washington, DC",Jan 23,4030,149,7.8353751700371514,0.7869735289830715
"Washington, DC",Jan 23,4011,338,9.923875341936947,3.156677108735312
"Washington, DC",Jan 23,4958,496,21.805337493866684,2.5365968871745284
"Washington, DC",Jan 23,4131,346,17.88171348352917,3.085512662958354
"Washington, DC",Jan 23,3302,209,8.38562200064771,2.238062595087104
"Washington, DC",Jan 23,4650,125,18.378931061690675,0.9926578786806204
"Washington, DC",Jan 23,4134,128,6.574013489717618,1.0530869034817443
"Washington, DC",Jan 23,4958,450,12.121261641616004,2.5580047955852936
"Washington, DC",Jan 23,4412,245,5.506051466986538,2.171195538842585
"Washington, DC",Jan 23,4134,479,4.5692520509008325,1.4093264971859754
"Washington, DC",Jan 23,4796,323,19.97267736122012,2.675184597098269
"Washington, DC",Jan 23,4131,305,4.055554597498849,1.4748200559522957
"Washington, DC",Jan 23,4650,480,19.328159421961757,2.9031109003815803
